LBC,LBCeq,pH,Ca,K,Mg,Mn,P,Zn,Ammonium,NO2,NO3,C,N,Soil Moisture,Longitude,Latitude,Site,DBH,Total Tree Height,Collection Date,Sample ID
528,1531.2,6.48,2044.0489,184.0917,398.9285,18.3765,122.088,4.2708,0.0,0.0,2.0495158,1.743,0.327,3.2994213179018073,123.193914,44.587648,Corvallis,1.1,2.42,09-2020-03T14:25:00,BESC-388-Co2_54_7_SC
526,1525.4,6.76,2421.8609,307.1397,404.4774,23.0194,111.2312,4.4079,3.2000976,0.0,5.015337799999999,1.944,0.346,7.972055542249922,123.193438,44.587743,Corvallis,3.3,6.26,09-2020-04T14:35:00,BESC-833-Co2_47_23_SC
296,858.4,6.41,1287.4825,129.8469,250.9412,16.0294,115.6975,1.265,4.85109135,0.0,2.3992172,0.697,0.261,4.0975230288904605,123.193709,44.587442,Corvallis,2.2,4.4,09-2020-03T15:14:00,BESC-847-Co2_69_13_SC
514,1490.6,6.69,2107.6943,209.9373,446.9184,31.219,114.4772,3.4804,3.9674166,0.0,2.6094806999999998,1.347,0.395,7.066381156316917,123.193547,44.587593,Corvallis,2.3,4.68,09-2020-04T13:26:00,BESC-866-Co2_58_19_SC
514,1490.6,6.69,2107.6943,209.9373,446.9184,31.219,114.4772,3.4804,3.9674166,0.0,2.6094806999999998,1.347,0.395,7.286225896780567,123.193547,44.587593,Corvallis,2.3,4.68,09-2020-04T13:26:00,BESC-866-Co2_58_19_SC
480,1392.0,6.76,2127.4432,210.5358,436.0167,33.3969,110.758,3.4735,3.23972145,0.0,1.8016261999999998,1.52,0.416,7.066381156316917,123.193547,44.587593,Corvallis,2.3,4.68,09-2020-04T13:26:00,BESC-866-Co2_58_19_SC
480,1392.0,6.76,2127.4432,210.5358,436.0167,33.3969,110.758,3.4735,3.23972145,0.0,1.8016261999999998,1.52,0.416,7.286225896780567,123.193547,44.587593,Corvallis,2.3,4.68,09-2020-04T13:26:00,BESC-866-Co2_58_19_SC
368,1067.2,6.9,1921.2841,346.7525,405.7664,14.3655,123.2342,1.4905,1.9541476500000001,0.0,3.6829311999999996,0.745,0.295,7.6067611043917465,123.193613,44.587688,Corvallis,3.2,4.8,09-2020-04T08:05:00,BESC-904-Co2_51_17_SC
652,1890.8,6.37,2449.8909,255.9442,450.2422,26.1187,102.8231,4.4023,4.926565350000001,0.0,9.0900231,2.369,0.374,7.218258494854244,123.193893,44.587786,Corvallis,1.4,3.45,09-2020-03T13:20:00,GW-4579-Co2_44_8_SC
377,1093.3,6.48,1764.8638,222.7384,312.3001,14.6228,121.937,3.4332,2.76171945,0.0,3.7006375999999994,1.192,0.25,4.381694994547781,123.193385,44.587532,Corvallis,3.3,5.41,09-2020-03T15:45:00,GW-9591-Co2_62_24_SC
455,1319.5,6.77,2015.1989,165.9236,400.5517,16.7989,104.3236,2.2483,3.29255325,0.0,5.849751899999999,1.473,0.31,4.175655618212313,123.193839,44.587826,Corvallis,1.4,2.86,09-2020-04T12:00:00,SKWA-24-3-Co2_41_10_SC
408,1183.2,6.71,1757.2913,219.8463,324.1902,15.2033,105.6094,2.9199,3.4208590500000002,0.0,1.3988056,1.272,0.306,3.6654374377628884,123.193454,44.587646,Corvallis,1.4,3.17,09-2020-05T09:17:00,SKWD-24-1-Co2_54_22_SC
408,1183.2,6.71,1757.2913,219.8463,324.1902,15.2033,105.6094,2.9199,3.4208590500000002,0.0,1.3988056,1.272,0.306,4.378044537230334,123.193454,44.587646,Corvallis,1.4,3.17,09-2020-05T09:17:00,SKWD-24-1-Co2_54_22_SC
405,1174.5,6.74,1872.0639,262.193,366.281,17.4063,118.1456,3.5127,4.1020119,0.0,1.9764769,1.774,0.38,3.6654374377628884,123.193454,44.587646,Corvallis,1.4,3.17,09-2020-05T09:17:00,SKWD-24-1-Co2_54_22_SC
405,1174.5,6.74,1872.0639,262.193,366.281,17.4063,118.1456,3.5127,4.1020119,0.0,1.9764769,1.774,0.38,4.378044537230334,123.193454,44.587646,Corvallis,1.4,3.17,09-2020-05T09:17:00,SKWD-24-1-Co2_54_22_SC
348,1009.2,6.37,1496.0,118.7408,294.4939,11.751,97.1426,1.5662,2.54032905,0.0,1.0623839999999998,0.864,0.06,3.2351050500260072,123.193264,44.587562,Corvallis,1.7,4.21,09-2020-05T11:11:00,BESC-845-Co2_60_28_SC
378,1096.2,7.18,1860.345,499.0043,337.3847,16.0681,127.8074,4.2715,3.7711842000000004,0.0,1.4076587999999999,1.058,0.081,4.092502784297282,123.193368,44.587694,Corvallis,2.7,5.34,09-2020-05T11:11:00,BESC-133-Co2_50_25_SC
352,1020.8,6.78,1673.1016,146.7839,331.6863,10.6006,100.5901,2.0413,2.0327664000000003,0.0,3.8201557999999998,0.848,0.063,5.259945501042631,123.193301,44.587669,Corvallis,2.0,4.72,09-2020-05T13:00:00,BESC-234-Co2_52_27_SC
597,1731.3,6.71,2453.1244,313.5012,435.4822,24.2299,103.1114,5.016,5.246071949999999,0.0,0.0,2.607,0.166,4.6788242414673356,123.193444,44.587823,Corvallis,2.1,4.13,09-2020-04T13:46:00,BESC-13-Co2_41_23_SC
725,2102.5,6.23,2595.9953,154.8951,456.2405,25.9704,87.4508,2.112,6.093267600000001,1.3942278000000001,9.29586,2.315,0.172,11.45008628005894,123.192906,44.588011,Corvallis,2.7,5.28,09-2020-04T12:40:00,BESC-307-Co3_27_41_SC
725,2102.5,6.23,2595.9953,154.8951,456.2405,25.9704,87.4508,2.112,6.093267600000001,1.3942278000000001,9.29586,2.315,0.172,18.48128676655101,123.192906,44.588011,Corvallis,2.7,5.28,09-2020-04T12:40:00,BESC-307-Co3_27_41_SC
675,1957.5,6.62,2477.5607,257.7671,485.3653,27.5555,57.0954,2.7486,4.9762524,0.0,7.124612699999999,2.502,0.17,11.45008628005894,123.192906,44.588011,Corvallis,2.7,5.28,09-2020-04T12:40:00,BESC-307-Co3_27_41_SC
675,1957.5,6.62,2477.5607,257.7671,485.3653,27.5555,57.0954,2.7486,4.9762524,0.0,7.124612699999999,2.502,0.17,18.48128676655101,123.192906,44.588011,Corvallis,2.7,5.28,09-2020-04T12:40:00,BESC-307-Co3_27_41_SC
617,1789.3,6.95,2511.0305,315.919,502.7775,26.6171,75.0163,4.0774,3.37431675,0.0,0.0,1.964,0.131,10.158755064449137,123.19295,44.588172,Corvallis,2.2,4.49,09-2020-04T13:17:00,BESC-331-Co3_15_40_SC
690,2001.0,6.48,2431.9806,138.7244,509.6532,32.3007,77.2296,2.8379,5.600799749999999,0.0,1.8702384999999997,2.239,0.151,10.59602649006623,123.192776,44.588226,Corvallis,3.3,5.66,09-2020-04T12:10:00,BESC-351-Co3_11_46_SC
718,2082.2,6.84,2833.609,252.1698,517.1211,28.365,88.6809,5.7041,5.144811,0.0,0.0,2.593,0.164,8.070982806427551,123.193144,44.588202,Corvallis,2.6,4.3,09-2020-03T09:03:00,BESC-360-Co3_13_34_SC
784,2273.6,6.76,2749.709,240.7666,519.957,36.5312,56.3999,5.1577,5.274374699999999,0.0,0.0,2.971,0.195,12.783447285854992,123.192446,44.58826,Corvallis,2.8,4.95,09-2020-04T11:00:00,BESC-388-Co3_8_57_SC
497,1441.3,6.84,2359.1709,201.3872,442.3262,23.1047,102.7785,1.95,3.6768417,0.0,7.2175712999999995,1.34,0.105,8.213783730572551,123.193022,44.587955,Corvallis,3.1,6.13,09-2020-04T13:15:00,BESC-833-Co3_31_37_SC
497,1441.3,6.84,2359.1709,201.3872,442.3262,23.1047,102.7785,1.95,3.6768417,0.0,7.2175712999999995,1.34,0.105,14.233931030578134,123.193022,44.587955,Corvallis,3.1,6.13,09-2020-04T13:15:00,BESC-833-Co3_31_37_SC
510,1479.0,6.83,2263.6434,195.1497,434.1463,21.0363,99.8554,2.0147,4.14792525,0.0,8.9837847,1.397,0.099,8.213783730572551,123.193022,44.587955,Corvallis,3.1,6.13,09-2020-04T13:15:00,BESC-833-Co3_31_37_SC
510,1479.0,6.83,2263.6434,195.1497,434.1463,21.0363,99.8554,2.0147,4.14792525,0.0,8.9837847,1.397,0.099,14.233931030578134,123.193022,44.587955,Corvallis,3.1,6.13,09-2020-04T13:15:00,BESC-833-Co3_31_37_SC
630,1827.0,6.55,2534.6384,200.7706,469.3387,21.5092,90.0195,2.5555,4.2240282,0.0,6.8590167,1.921,0.111,10.465044563296814,123.193143,44.588254,Corvallis,4.5,6.2,09-2020-04T10:58:00,BESC-847-Co3_9_34_SC
580,1682.0,6.73,2347.9699,208.872,433.2549,26.0173,73.2036,2.955,4.64856945,0.0,4.703262499999999,1.869,0.118,11.014018179855213,123.192696,44.588007,Corvallis,3.0,4.77,09-2020-04T13:18:00,BESC-866-Co3_27_48_SC
653,1893.7,6.72,2440.3289,206.03,493.0536,26.9571,82.1159,2.8401,5.5926234,0.0,12.992071,1.968,0.131,10.279001468428776,123.192616,44.588158,Corvallis,2.3,4.45,09-2020-04T14:29:00,BESC-904-Co3_16_51_SC
810,2349.0,6.62,2631.3571,203.9203,557.7136,30.7649,51.4213,3.1255,7.0197109499999994,0.0,20.032578299999997,2.53,0.173,14.220779896194125,123.192616,44.588185,Corvallis,2.0,4.5,09-2020-04T12:25:00,GW-4579-Co3_14_51_SC
614,1780.6,6.88,2419.1132,550.0416,469.3682,26.6335,89.8775,3.4032,6.0221962499999995,10.510080000000002,20.5482772,1.899,0.121,9.098727210182318,123.192683,44.587894,Corvallis,3.3,5.04,09-2020-04T09:55:00,GW-9591-Co3_35_48_SC
614,1780.6,6.88,2419.1132,550.0416,469.3682,26.6335,89.8775,3.4032,6.0221962499999995,10.510080000000002,20.5482772,1.899,0.121,8.998610716428281,123.192683,44.587894,Corvallis,3.3,5.04,09-2020-04T09:55:00,GW-9591-Co3_35_48_SC
576,1670.4,6.88,2267.6736,491.4817,456.2841,24.8096,77.6349,3.1935,4.8630414,0.9623292,9.935503699999998,2.024,0.141,9.098727210182318,123.192683,44.587894,Corvallis,3.3,5.04,09-2020-04T09:55:00,GW-9591-Co3_35_48_SC
576,1670.4,6.88,2267.6736,491.4817,456.2841,24.8096,77.6349,3.1935,4.8630414,0.9623292,9.935503699999998,2.024,0.141,8.998610716428281,123.192683,44.587894,Corvallis,3.3,5.04,09-2020-04T09:55:00,GW-9591-Co3_35_48_SC
540,1566.0,6.7,2273.2716,152.089,434.1383,21.1449,95.9646,2.766,5.58570495,0.0,11.626464899999998,1.613,0.111,9.412409716097352,123.193099,44.588067,Corvallis,2.7,4.01,09-2020-03T08:47:00,SKWA-24-3-Co3_23_35_SC
309,896.1,6.44,1414.8288,109.2683,289.001,9.5918,89.0418,1.1197,3.2787163500000003,0.0,1.6621883,0.575,0.05,3.7426898700716174,123.193187,44.588049,Corvallis,0.4,1.29,09-2020-05T09:00:00,SKWD-24-1-Co3_24_32_SC
636,1844.4,6.81,2254.4001,395.2276,442.0369,25.3905,78.6293,3.6902,3.7762157999999997,0.9754668,5.900657799999999,2.12,0.144,9.87301450490753,123.192874,44.587994,Corvallis,2.1,4.72,09-2020-03T16:13:00,BESC-845-Co3_28_42_SC
547,1586.3,6.64,2240.0477,160.5909,435.5552,22.0105,75.121,2.2636,3.97056135,0.0,9.523829899999999,1.696,0.11,11.528488577269073,123.192766,44.588118,Corvallis,2.6,4.48,09-2020-04T11:30:00,BESC-133-Co3_19_46_SC
770,2233.0,7.02,2801.6125,182.4867,532.2602,36.8497,57.839,7.6784,5.242298250000001,3.218712,6.4584094,3.397,0.2,12.444744348936338,123.192277,44.588086,Corvallis,3.4,6.02,09-2020-04T10:40:00,BESC-234-Co3_21_62_SC
770,2233.0,7.02,2801.6125,182.4867,532.2602,36.8497,57.839,7.6784,5.242298250000001,3.218712,6.4584094,3.397,0.2,12.018184103385893,123.192277,44.588086,Corvallis,3.4,6.02,09-2020-04T10:40:00,BESC-234-Co3_21_62_SC
821,2380.9,7.07,2946.3099,201.3668,568.2881,35.6361,49.9193,7.7941,5.90269575,9.500127,17.239393699999997,3.479,0.2,12.444744348936338,123.192277,44.588086,Corvallis,3.4,6.02,09-2020-04T10:40:00,BESC-234-Co3_21_62_SC
821,2380.9,7.07,2946.3099,201.3668,568.2881,35.6361,49.9193,7.7941,5.90269575,9.500127,17.239393699999997,3.479,0.2,12.018184103385893,123.192277,44.588086,Corvallis,3.4,6.02,09-2020-04T10:40:00,BESC-234-Co3_21_62_SC
744,2157.6,6.64,2272.2871,140.4751,509.7725,24.528,26.0245,2.8673,4.4265501,0.0,1.2372347,2.878,0.194,11.85798099455694,123.192429,44.588088,Corvallis,2.5,4.66,09-2020-04T10:42:00,BESC-13-Co3_21_57_SC
